userId,top_tokens
0x01e4625e44820daf8526730b79f0ed4c023c37a0,"[12, 11, 45, 71, 15, 6, 1224, 951, 51, 13962, 9, 1221, 1858, 1323, 2071, 44, 8137, 20101, 16147, 17848, 18197, 18015, 20802, 20855, 20809, 1403, 14088, 16, 664, 12296]"
0x01e638b805108e7a2e928a1b0c263890f017a3b5,"[5, 8, 2, 7, 20103, 14654, 47, 20884, 20016, 16219, 19875, 18449, 18140, 13907, 18390, 18650, 20163, 13253, 18122, 14417, 20808, 20443, 20047, 693, 9469, 19049, 20679, 20430, 14159, 16131]"
0x01ed07ab661d830c59b86b50a18617fda879cec1,"[5, 8, 17914, 19874, 8137, 20808, 20191, 12, 18606, 19523, 20855, 19891, 19420, 20598, 21691, 19518, 19628, 18650, 20809, 21079, 19584, 20871, 20016, 11737, 19816, 20884, 4441, 7404, 20129, 11]"
0x01f85420f032d20c4d24fa4ef9374c05f935df67,"[5, 1, 8, 20405, 21691, 645, 2006, 20884, 20410, 4287, 2, 16811, 19690, 18119, 3478, 8408, 20430, 16922, 15706, 10960, 16203, 20763, 19043, 20843, 20819, 11847, 20808, 20197, 15591, 20485]"
0x01fa2d4a142c28e4e734f8f829a538fc3566a2e5,"[1, 13913, 13915, 13917, 13918, 13919, 13920, 13921, 13912, 13923, 13929, 13930, 13931, 13935, 13936, 13938, 13939, 13927, 13910, 13909, 13908, 13882, 13884, 13885, 13888, 13889, 13890, 13891, 13893, 13894]"
0x021afda9886dce1cca8cecd130e4f2891b2b91d1,"[2, 19983, 17292, 18567, 18390, 2733, 13244, 19310, 19989, 19584, 19874, 10606, 20443, 17574, 13253, 4502, 10014, 17120, 11522, 18839, 20016, 17629, 2692, 20618, 19976, 14372, 590, 19025, 19891, 21077]"
0x02206509a713e003bd099fd12a2edfef9af84665,"[18119, 11195, 8367, 47, 14159, 20241, 20882, 20802, 17848, 18449, 3704, 20808, 4727, 20090, 19862, 14476, 20191, 20430, 15759, 19412, 21079, 19429, 13350, 10926, 693, 14228, 19874, 20392, 16166, 20410]"
0x02284b9889115d3654a72a8422ac0f3c28ed6ac4,"[1, 8, 34, 19368, 18606, 20943, 17848, 10273, 2299, 10606, 17801, 15016, 8137, 64, 20485, 19412, 18650, 519, 825, 13350, 20802, 14203, 20354, 21079, 47, 16548, 19824, 20882, 9365, 2888]"
0x02302dd6b36b5527edf6645a3b51d8b7d46c6d00,"[5, 11, 12, 17159, 34, 4408, 7, 602, 14203, 11737, 20499, 13936, 15327, 9365, 2854, 6906, 8086, 7485, 14316, 20709, 17123, 11812, 7270, 8818, 3905, 490, 15696, 519, 64, 8281]"
0x0238a4b5b4cf872bf6a9f4cc56519ab15820b726,"[1, 34, 47, 50, 54, 14, 17, 7, 19755, 14372, 19637, 15037, 4931, 17176, 21562, 20101, 18197, 76, 19988, 13481, 10147, 18903, 19007, 16829, 15245, 8137, 10172, 6104, 4287, 9469]"
0x0272920d2dec2e81044d30960fae62344310c44f,"[5, 19874, 19523, 20808, 20855, 8, 19412, 123, 18449, 18396, 9401, 20241, 1300, 2475, 6322, 8137, 693, 19862, 20340, 18062, 18299, 20882, 10172, 19518, 17123, 20090, 17176, 19368, 19420, 10273]"
0x02a1c1285cb56fdf747ba76224978e32e922cc19,"[5, 8, 12, 11, 7, 28, 1224, 15, 71, 602, 14, 1403, 9, 951, 6, 2071, 55, 13962, 14654, 1221, 16, 992, 991, 13, 18390, 16219, 19921, 18808, 14417, 16468]"
0x02c1285dd3c25a12cd60529b98e29278c7134fbd,"[1, 20884, 47, 20103, 14654, 19368, 20016, 34, 20808, 20485, 18650, 13907, 20541, 13253, 20163, 16219, 20679, 20191, 17914, 17848, 19584, 693, 19420, 50, 18140, 20047, 3478, 20167, 19891, 17942]"
0x02c20d177ac6bb9c294d66d2e9f446c4ceb26e71,"[1, 13913, 13915, 13917, 13918, 13919, 13920, 13921, 13912, 13923, 13929, 13930, 13931, 13935, 13936, 13938, 13939, 13927, 13910, 13909, 13908, 13882, 13884, 13885, 13888, 13889, 13890, 13891, 13893, 13894]"
0x02f2e5e9687d7db7a68c9bab0962294baa053cbc,"[1, 20405, 16922, 20129, 14122, 20445, 8408, 20103, 645, 20776, 19862, 21691, 17574, 18119, 19336, 18567, 15784, 21061, 10375, 21973, 14078, 11076, 9948, 19989, 20702, 20071, 19529, 20628, 18542, 20197]"
0x02f6f3305b21ee19e87656c8e7bee9fb73d4b241,"[19874, 2, 14417, 21077, 14654, 13253, 9004, 19584, 20966, 19420, 20855, 20191, 19025, 11522, 16219, 19049, 14316, 17893, 19518, 8834, 20016, 19523, 21142, 18390, 14594, 18447, 20129, 14159, 17629, 18449]"
0x03009898ffd3361bb6b02b77d655f196ec82865e,"[8, 12, 15, 17914, 71, 19874, 45, 1224, 54, 465, 16233, 14, 13853, 20101, 7594, 19866, 19491, 15257, 16057, 8357, 10424, 6, 11059, 5553, 14088, 7404, 19968, 17123, 18567, 18760]"
0x0312950d6938c5c6183b130f17caacaadb86097c,"[1, 20808, 20884, 20405, 16922, 19043, 21616, 21691, 20056, 21164, 3478, 20451, 19862, 18751, 14476, 10276, 645, 10101, 18808, 17176, 11030, 17914, 17807, 20763, 10388, 7, 18140, 13481, 14372, 8408]"
0x0320de3378dcde180758ad2d41c0e1c6dcbb441d,"[5, 11, 34, 12, 41, 1979, 55, 28, 4, 20101, 698, 9, 57, 18748, 7550, 1579, 64, 20499, 2071, 991, 602, 8029, 18766, 17123, 37, 42, 4408, 9112, 3905, 1765]"
0x0328c8b74fc29943b1c6be6cba3f94119366e9b7,"[5, 20167, 15245, 10172, 19628, 17456, 16811, 19523, 20453, 8834, 18119, 21177, 18650, 17176, 11249, 18791, 18577, 19861, 19987, 19601, 22063, 18567, 19713, 18374, 21079, 20191, 18506, 21067, 17945, 18034]"
0x033e5a811b3f228002c1a3dc4dc3ea1ae04ad779,"[5, 8, 12, 11, 7, 28, 2, 1224, 15, 71, 12569, 602, 17456, 18396, 20103, 18791, 17487, 1403, 20679, 18624, 10147, 17942, 4931, 13481, 14122, 19336, 17945, 15037, 964, 20167]"
0x03509070f121ef65353c92d64231ed4564f359eb,"[5, 8, 2, 11, 12, 28, 10, 1224, 41, 1403, 602, 14654, 20103, 20129, 18449, 19621, 2692, 12569, 951, 18390, 20430, 21718, 13907, 992, 18645, 20405, 18537, 16922, 20445, 20843]"
0x0374159c4abf2d7db45cba753fcf7fbe17efa1a7,"[8, 19874, 4698, 8153, 1729, 4287, 19875, 20819, 2866, 2733, 5, 17914, 20047, 20103, 19755, 10, 14069, 2006, 17574, 20855, 19025, 14654, 19785, 8189, 16203, 17893, 2132, 19862, 20983, 15245]"
0x037e2847c769d20564502183f524f88baa06b389,"[5, 8, 2, 11, 12, 28, 7, 2627, 645, 2692, 16811, 1077, 22159, 6906, 19372, 15591, 8357, 21591, 19274, 14316, 7795, 18, 11450, 41, 4906, 19396, 2318, 13481, 22108, 16166]"
0x03bb0bee92ed79e620e9913fd1cac773ea8c0cce,"[5, 12, 20808, 19368, 19816, 22159, 17456, 8153, 11450, 2, 13907, 11, 17217, 17629, 19821, 20610, 19903, 20163, 8137, 13481, 17801, 16811, 19988, 14088, 20167, 19147, 22034, 20103, 19679, 22063]"
0x03f6c43ab769c0c9403214dd42b34d2bdbb7b704,"[8, 5, 2, 7, 47, 20485, 17801, 18119, 19368, 20884, 17848, 20802, 2299, 18606, 10606, 20882, 10273, 20191, 13350, 20763, 21079, 519, 18650, 20241, 11195, 20943, 19824, 50, 20016, 18974]"
0x03f90f638fc2c73e43008e66e11e554a8de746ae,"[5, 12, 11, 28, 1224, 13481, 71, 645, 2, 17456, 602, 15, 8408, 20843, 19336, 18230, 17945, 16922, 18390, 9947, 2627, 20819, 19104, 19396, 20451, 18791, 17629, 951, 16811, 18449]"
0x04796671fe4cab25bb78532f705cf2140b1ccc44,"[1, 8, 21142, 20405, 18119, 20430, 20884, 8367, 19138, 20614, 21061, 11059, 14159, 21077, 20197, 20808, 14417, 20763, 11133, 21335, 16131, 2475, 3704, 20410, 47, 18627, 18624, 1224, 18659, 16468]"
0x0481ac68cc3cb70f71c537c9cc14a6ddc29881b1,"[5, 8, 19628, 21164, 20022, 2, 6104, 2941, 18624, 16014, 2746, 19336, 13907, 15245, 10172, 20855, 8986, 17942, 19816, 19696, 19921, 18438, 20541, 19523, 20884, 710, 22117, 12699, 19755, 20372]"
0x04823fabfa7f0fa5bd84ea284701337ecd8af395,"[8, 1, 2, 7, 47, 14654, 19584, 20016, 14594, 8367, 20103, 14, 3478, 20943, 20802, 19690, 17942, 3704, 20808, 19368, 18119, 20445, 20610, 13244, 17, 54, 2299, 19891, 4745, 20191]"
0x048765634914dd14a97afb7eee897076954446f9,"[5, 2, 20577, 16509, 19905, 18808, 19862, 16811, 2746, 19861, 16014, 8986, 6104, 17101, 4018, 19816, 19690, 14230, 20842, 13481, 20372, 14159, 20884, 19005, 17942, 19720, 4422, 19104, 20808, 11602]"
0x049be17c63daa8d70354c60356b5741ac75ac689,"[1, 5, 41, 34, 11, 10, 50, 1979, 12, 55, 4, 20101, 28, 991, 4408, 42, 21691, 8788, 91, 2071, 14286, 2299, 15327, 15016, 15322, 57, 20364, 1422, 9365, 12563]"
0x049c3e528a719e9bf8c7791a1bb5ee72e2a40566,"[1, 8, 18770, 17914, 10668, 5, 18659, 20614, 11059, 20453, 17801, 14417, 21077, 18374, 21061, 645, 15257, 14951, 19862, 8367, 19485, 19225, 1224, 17629, 47, 18482, 14654, 21335, 20090, 20191]"
0x04b4322f7c1d8f614985296d85af8017c6262077,"[1, 19529, 17914, 14417, 18122, 10729, 10887, 16131, 21691, 7051, 20340, 20884, 16468, 2733, 16710, 20105, 16828, 13755, 21061, 18774, 19523, 10, 16922, 13428, 19713, 17456, 14372, 14310, 8137, 21605]"
0x04babaac14dee5c486836976d64f46be3d90b0e8,"[1, 5, 13907, 17629, 17893, 825, 19182, 17456, 19336, 6541, 8153, 10425, 18476, 19368, 20237, 17593, 19862, 17945, 14417, 17568, 17123, 13253, 9572, 18791, 7191, 16828, 11988, 18977, 1403, 1224]"
0x04fcd497d761e93b7b94310bb1e3a554324a4e74,"[1, 10, 19368, 13808, 8, 12569, 18567, 645, 20860, 19713, 20367, 10424, 13907, 18449, 20167, 18481, 13885, 18791, 16811, 17924, 17456, 7404, 20103, 15706, 6541, 9890, 11249, 14122, 825, 19989]"
0x0509d3087cdd530a82292219185a652e7217737d,"[1, 13913, 13915, 13917, 13918, 13919, 13920, 13921, 13912, 13923, 13929, 13930, 13931, 13935, 13936, 13938, 13939, 13927, 13910, 13909, 13908, 13882, 13884, 13885, 13888, 13889, 13890, 13891, 13893, 13894]"
0x051abc0c4e0d338183b4f8b8bc8c8cd5adaec335,"[1, 34, 50, 47, 54, 41, 17, 13253, 20103, 2006, 1979, 19713, 18449, 17629, 19874, 19875, 19785, 20016, 622, 16219, 76, 20819, 9469, 19225, 17456, 15706, 17893, 14654, 19755, 14159]"
0x052c3aa23c362276524dfb0d4a08362fbd07bcd5,"[17914, 17425, 19368, 15706, 12, 19637, 14122, 15245, 20016, 18119, 3069, 16203, 20163, 13286, 3478, 14104, 4287, 20164, 12813, 9890, 12569, 7404, 16178, 19601, 5021, 21562, 20474, 20628, 16057, 17456]"
0x0544fbed9b72aa036517b21d1db50201a17d09ce,"[5, 1, 7, 14, 50, 47, 34, 28, 1979, 4, 645, 19372, 6906, 2692, 19988, 1077, 16811, 19274, 8357, 55, 20499, 16233, 19983, 15591, 21943, 465, 4906, 22108, 13122, 2318]"
0x054c281d4f4e377224b450536c5f0e80a0351112,"[5, 12, 11, 28, 20884, 20103, 20808, 14654, 19584, 20016, 20167, 20485, 20541, 20163, 71, 17425, 18197, 602, 1224, 19368, 17456, 13253, 16219, 18650, 20763, 3478, 20679, 15245, 19861, 12569]"
0x057f8d0f6fb2703197363f75c002f766f1c4287a,"[5, 1, 8, 7, 2, 50, 47, 14, 10, 41, 19874, 7051, 20405, 18476, 20340, 28, 19523, 19336, 645, 20855, 123, 22063, 6322, 602, 34, 20610, 15784, 2132, 21396, 9948]"
0x05c14ca70625ad6f5964500ea666158c6a3eccbb,"[8, 5, 20167, 17425, 9469, 18197, 14122, 20485, 18650, 20610, 18903, 20474, 10172, 6104, 17568, 20336, 19005, 21396, 18449, 9250, 19368, 19816, 19874, 19429, 19905, 20855, 13853, 20163, 17217, 17924]"
0x05c31f9623a5b691f18e60e68f23c64cd708badb,"[1, 8, 5, 2, 7, 47, 50, 10, 41, 14, 13350, 76, 18, 54, 17, 13907, 5021, 123, 4526, 1529, 42, 3, 1387, 15016, 56, 10790, 20373, 4584, 465, 64]"
0x060a2cfbf6251c44dc6b1c32e6b41e9ce25a2b55,"[1, 5, 16509, 2746, 17456, 19905, 19903, 20884, 16811, 8408, 18197, 16828, 20541, 17945, 19720, 20763, 20405, 16922, 8987, 7302, 18624, 16468, 19523, 14122, 4341, 21064, 20610, 17332, 19343, 19861]"
0x061a5580a26f07cf4ced8220bf2a7536c2b601dc,"[8, 5, 2, 7, 47, 10, 50, 14, 11, 18119, 28, 20884, 13350, 41, 1224, 18, 13907, 602, 123, 2299, 18627, 1529, 18624, 18808, 5021, 20405, 20541, 654, 19601, 16509]"
0x0636211443e91468ee3657e1d7faede7059c4843,"[1, 8, 20983, 19983, 19025, 2746, 17848, 17593, 7, 11059, 19874, 19621, 20405, 13253, 17292, 20103, 8086, 19594, 18197, 10606, 16208, 13244, 20071, 16219, 19049, 21112, 14122, 519, 4287, 21067]"
