tokenId,top_tokens
34,"[18830, 16375, 10281, 76, 3500, 9123, 15674, 16962, 17597, 568, 1132, 20114, 19219, 3344, 12380, 41, 11989, 21184, 10957, 9708, 1130, 20381, 15435, 19949, 16859, 1640, 11959, 19375, 5985, 8027]"
36,"[8053, 2930, 13313, 11791, 12588, 765, 15049, 2454, 1649, 6871, 594, 546, 8945, 4317, 8968, 11754, 6215, 5409, 6436, 1180, 3845, 11301, 18737, 1229, 18213, 19477, 11917, 6486, 18801, 19069]"
37,"[29, 21, 48, 19715, 21376, 21417, 2833, 601, 21585, 21976, 1106, 840, 1918, 1582, 1590, 19714, 1625, 7326, 1586, 1583, 21539, 1052, 1095, 1211, 20021, 1656, 19765, 7598, 8496, 941]"
39,"[834, 1686, 768, 703, 1264, 19386, 1388, 750, 163, 1156, 12527, 12698, 12096, 173, 12084, 17220, 16689, 899, 13213, 5982, 3085, 7697, 16783, 4332, 8018, 7313, 7316, 18040, 11865, 5092]"
41,"[51, 978, 42, 15116, 14082, 15013, 14905, 8607, 20745, 16253, 21524, 9722, 20584, 4357, 8677, 7205, 11609, 19856, 4207, 20985, 13163, 8806, 9084, 8213, 8611, 13235, 11758, 16472, 8600, 15768]"
42,"[674, 516, 705, 521, 81, 90, 18833, 1263, 17752, 6343, 13711, 9716, 10287, 9051, 15484, 3320, 12073, 1458, 6792, 14949, 6881, 11014, 11980, 5213, 5544, 5178, 18142, 772, 10646, 18285]"
43,"[32, 961, 1885, 7598, 7740, 8496, 1582, 21976, 8626, 1820, 7326, 6149, 6719, 21376, 21417, 6757, 19715, 157, 945, 840, 2833, 1211, 21585, 1918, 1590, 8541, 1106, 19714, 1625, 1656]"
44,"[1794, 1009, 558, 4159, 580, 9839, 15482, 2455, 60, 584, 2743, 11284, 9472, 3288, 2434, 7562, 17540, 1932, 949, 1668, 5109, 7515, 7946, 12319, 14132, 10576, 8801, 15145, 7849, 903]"
45,"[51, 2118, 1404, 9618, 14778, 14553, 9407, 9684, 12112, 2058, 11035, 6112, 20334, 8292, 1774, 7370, 46, 1758, 1044, 7287, 9977, 12508, 1064, 9173, 14468, 15054, 13689, 12375, 12406, 9368]"
46,"[2738, 849, 4847, 4292, 2874, 2261, 11014, 2119, 18522, 1839, 20908, 6024, 20322, 10945, 2218, 6881, 15107, 10460, 1319, 10190, 12310, 5817, 5178, 7710, 7143, 5384, 4990, 912, 2349, 19455]"
47,"[10926, 21211, 11611, 5440, 19428, 20082, 9265, 11195, 12719, 15759, 15162, 19996, 21498, 113, 4698, 19877, 12988, 6966, 17097, 8558, 17804, 20976, 18846, 18064, 21783, 7978, 19224, 18034, 21763, 10470]"
48,"[1820, 6757, 6719, 6149, 1885, 7740, 8541, 8496, 8626, 7598, 92, 86, 157, 1582, 7326, 961, 21976, 21376, 19715, 21417, 840, 550, 2833, 21585, 1211, 1918, 945, 1590, 1106, 19714]"
50,"[19417, 21353, 21054, 71, 20699, 9197, 54, 10197, 20955, 9514, 21333, 19975, 2759, 19819, 7971, 14967, 16686, 20519, 18015, 8358, 7516, 14933, 20012, 2015, 9085, 20782, 88, 20088, 2661, 4528]"
