tokenId,top_tokens
1366,"[2964, 2861, 1275, 1051, 18667, 18281, 18922, 13946, 19253, 11810, 12620, 11216, 2008, 12652, 4930, 8874, 8668, 4191, 12306, 10613, 8436, 9526, 4764, 15372, 17182, 13071, 589, 7827, 2622, 17991]"
1367,"[1053, 18065, 13038, 19848, 18302, 20127, 17946, 4739, 17469, 20138, 4470, 10329, 20957, 11105, 18169, 510, 8802, 20013, 18121, 16601, 17197, 10534, 12656, 6815, 19823, 6510, 19316, 6463, 6915, 18426]"
1368,"[7652, 763, 5355, 1482, 662, 2690, 1624, 1956, 8629, 1891, 5349, 5707, 1109, 2095, 7069, 9631, 10662, 5374, 7584, 5345, 1022, 1453, 5756, 21435, 11792, 1957, 1505, 5620, 10768, 10868]"
1370,"[1463, 1620, 5985, 9754, 9708, 20863, 19380, 4528, 12627, 18536, 15232, 8956, 8593, 19405, 20484, 19910, 16965, 21811, 8494, 20362, 10477, 19780, 2661, 19393, 19206, 12567, 21516, 17140, 19032, 14735]"
1371,"[9161, 10257, 9776, 7222, 9751, 2931, 10712, 11483, 5530, 6250, 5708, 4185, 605, 8372, 10553, 2154, 7050, 2300, 11866, 1043, 4736, 21925, 1992, 19140, 8603, 7032, 4885, 5344, 10852, 4873]"
1373,"[3712, 5058, 6098, 4612, 4458, 6396, 5128, 5550, 5536, 6734, 6007, 7318, 8953, 9595, 3040, 9556, 6155, 8311, 10033, 9910, 3559, 9328, 12143, 727, 17376, 18001, 18786, 11690, 4850, 6979]"
1375,"[20929, 15681, 20165, 12779, 7949, 3211, 11078, 7867, 8768, 4278, 1715, 1457, 10467, 591, 11940, 4609, 20148, 22090, 3559, 18582, 1024, 8904, 1634, 18186, 10033, 8311, 18695, 9792, 7859, 13946]"
1377,"[5471, 5694, 1499, 5627, 6260, 5412, 7666, 1255, 10304, 9702, 2102, 2691, 1778, 7743, 4616, 4777, 7417, 7192, 121, 1406, 2050, 1194, 10949, 1935, 6985, 8682, 6421, 2894, 5776, 7712]"
1378,"[7834, 1486, 5750, 7719, 5823, 1283, 8889, 4797, 5824, 2146, 6264, 8486, 5357, 2043, 6441, 7898, 948, 762, 6425, 2657, 10638, 2148, 1411, 618, 7602, 2803, 2457, 1743, 11072, 11063]"
1379,"[1380, 12556, 14502, 18459, 21537, 12455, 14738, 11744, 13083, 11686, 6359, 3446, 6917, 21102, 15557, 12065, 17313, 18083, 18351, 10262, 20952, 21624, 22072, 17738, 10903, 11242, 11288, 5083, 20175, 16023]"
1380,"[12556, 1379, 14502, 18459, 12455, 11744, 21537, 14738, 13083, 11686, 6359, 6917, 15557, 12065, 18083, 17313, 21102, 10903, 3446, 11288, 11242, 21624, 22072, 20175, 5025, 5083, 17738, 12018, 10705, 9481]"
1381,"[6342, 7818, 7053, 4381, 11699, 9400, 16885, 12097, 4537, 3766, 6738, 8195, 7824, 8829, 6742, 2123, 9134, 2486, 5224, 3544, 11442, 6622, 11474, 6643, 5568, 12511, 7210, 4942, 11713, 2068]"
1382,"[11306, 10543, 11983, 12013, 8429, 14551, 12802, 14709, 13823, 9576, 11338, 13278, 11088, 3153, 5106, 7190, 6705, 16152, 17868, 11850, 7563, 626, 5090, 20551, 122, 15084, 14717, 11884, 1395, 10972]"
1384,"[1433, 1432, 1563, 1434, 1484, 534, 1502, 967, 5095, 10639, 5853, 8549, 17877, 14111, 6042, 17734, 6251, 2462, 3534, 832, 5320, 4632, 3729, 12139, 11575, 3106, 10120, 12319, 18464, 11480]"
1387,"[3308, 10840, 8097, 7845, 20466, 19243, 5848, 2987, 10037, 10027, 1475, 18779, 14475, 17416, 8637, 18020, 21245, 19405, 19825, 20791, 20521, 7790, 15933, 21703, 17676, 22127, 21748, 19682, 10256, 21026]"
1388,"[750, 19386, 1264, 703, 768, 1020, 11849, 1686, 834, 108, 5169, 7717, 909, 11932, 13592, 2621, 255, 6749, 2027, 2250, 736, 12529, 11818, 1916, 9696, 1748, 2064, 1549, 2883, 6878]"
1389,"[973, 7592, 2676, 2925, 82, 21830, 21414, 21920, 1237, 7870, 535, 2093, 1581, 1107, 21747, 683, 2196, 1953, 10987, 1754, 7070, 1046, 19724, 10867, 2801, 20435, 2198, 1098, 1752, 164]"
1392,"[21647, 20398, 5768, 7899, 4967, 5145, 4590, 3008, 15834, 1622, 3091, 7476, 8463, 8521, 16621, 12000, 18519, 19303, 1464, 18397, 21343, 17075, 14908, 18096, 657, 21285, 7810, 11939, 577, 20595]"
1395,"[11850, 16152, 11884, 14717, 4592, 10446, 5106, 11515, 5300, 10486, 15084, 2923, 7563, 11336, 5090, 11761, 3153, 177, 11338, 7190, 1890, 122, 13201, 17868, 2280, 14709, 3242, 21360, 12436, 8050]"
1401,"[575, 18507, 15360, 951, 9357, 20029, 9248, 18242, 15761, 16039, 21035, 10128, 9946, 17880, 11600, 16453, 6547, 18988, 20310, 20044, 11004, 6512, 18793, 17040, 10470, 16029, 1223, 10181, 991, 12331]"
1403,"[3703, 19770, 9107, 20281, 20283, 11988, 17222, 21474, 7233, 15451, 3664, 20226, 16671, 10574, 14393, 19632, 11090, 20558, 17923, 19587, 21449, 20198, 21950, 7978, 21555, 8558, 19684, 20403, 10247, 12774]"
1404,"[2131, 735, 17869, 15894, 19346, 11035, 13689, 14468, 14789, 8278, 14297, 14655, 12123, 12508, 1758, 1172, 3115, 1719, 1750, 722, 4683, 7370, 1774, 20334, 2349, 7143, 19717, 12649, 12521, 1839]"
1405,"[8415, 10624, 12280, 11799, 10549, 13870, 3869, 19115, 19239, 18453, 11241, 11091, 18566, 7596, 7706, 7515, 1985, 9817, 17540, 7562, 5470, 949, 7946, 903, 9864, 1009, 2940, 4159, 21797, 8269]"
1406,"[2050, 1778, 7743, 2102, 121, 1474, 5412, 2691, 6260, 5694, 5600, 1499, 7576, 5471, 5627, 1808, 6918, 1377, 2803, 7666, 2148, 953, 1255, 10304, 1252, 9702, 11063, 7898, 7417, 4616]"
1407,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1408,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1409,"[1469, 9848, 10397, 3629, 752, 2393, 5545, 6335, 5699, 7472, 10581, 7688, 17316, 5124, 9874, 8872, 9429, 8244, 2030, 2924, 9628, 8689, 7749, 9889, 9632, 13329, 183, 7794, 1724, 7451]"
1410,"[9827, 1738, 13272, 2951, 139, 12776, 10728, 7873, 10513, 14969, 112, 3877, 8307, 8093, 12328, 11966, 5199, 2423, 17627, 7816, 7451, 10501, 5801, 75, 10525, 1724, 9105, 9434, 13047, 12973]"
1411,"[2657, 7602, 10638, 618, 762, 6425, 2457, 1743, 2043, 10978, 948, 11072, 8486, 5622, 11068, 5357, 3166, 6264, 9814, 5750, 10979, 5371, 2136, 1378, 1486, 7834, 5823, 2146, 7719, 8889]"
1412,"[1149, 21451, 5703, 1259, 1476, 1116, 1692, 2640, 942, 8511, 1273, 7154, 5187, 854, 2679, 6075, 5994, 6020, 8688, 5434, 9788, 695, 10166, 5183, 5147, 7552, 2641, 1768, 916, 1496]"
1413,"[11595, 12173, 18335, 22072, 7963, 21102, 7220, 6201, 7604, 13953, 21624, 17313, 3007, 20643, 8007, 12811, 14335, 12940, 12450, 11280, 22013, 11957, 14038, 8480, 14175, 7964, 19183, 12958, 17876, 7507]"
1414,"[18960, 2220, 4575, 13827, 6323, 4038, 5051, 10620, 3422, 10886, 9696, 7728, 1748, 13592, 255, 7717, 1916, 2064, 108, 5169, 878, 7677, 17672, 11679, 909, 12509, 9777, 12759, 12501, 7691]"
1415,"[2483, 9668, 15737, 6825, 1335, 6196, 5030, 4622, 11325, 2484, 6117, 8886, 9442, 16659, 4792, 11119, 9750, 9254, 4107, 3453, 1303, 5676, 7327, 8819, 4573, 6675, 6912, 4921, 8747, 3669]"
1416,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1417,"[1791, 164, 7342, 1116, 11792, 3783, 2690, 7584, 1856, 1022, 1453, 1008, 983, 1956, 2011, 5349, 10868, 1624, 2095, 1482, 2479, 1207, 1368, 663, 5374, 8633, 10662, 1754, 5355, 10768]"
1420,"[7980, 15623, 9251, 9939, 12301, 2104, 8470, 10632, 7539, 679, 3435, 5642, 13760, 3856, 6449, 6456, 7345, 7644, 2049, 2313, 9424, 5632, 11082, 8880, 3858, 2007, 5742, 10282, 14512, 4996]"
1421,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1422,"[4546, 1616, 12014, 19129, 20166, 9585, 20154, 17420, 3535, 20134, 2991, 16982, 13978, 6914, 19389, 4372, 21508, 19994, 4007, 7336, 19177, 15813, 9313, 20, 9014, 4510, 5270, 18673, 18333, 18184]"
1423,"[9770, 3469, 10833, 9665, 11464, 9081, 10484, 9264, 5581, 2329, 9933, 3550, 2709, 8385, 6389, 4188, 5175, 7745, 10499, 17031, 11947, 7606, 3696, 14483, 7487, 14210, 7643, 9003, 6381, 3705]"
1424,"[12600, 13121, 12330, 12313, 16094, 14277, 9712, 12606, 5596, 6782, 5109, 904, 17585, 17038, 718, 1932, 12975, 2434, 911, 646, 3288, 8599, 9519, 7083, 60, 11154, 11755, 15269, 910, 14017]"
1426,"[5924, 7000, 5793, 11856, 6014, 9805, 8018, 6696, 2768, 5982, 14343, 10717, 6824, 7690, 4302, 16544, 7313, 10310, 1012, 3404, 3399, 5512, 7822, 16783, 18040, 15359, 8372, 10084, 1847, 4185]"
1427,"[12155, 10698, 14651, 15788, 18522, 5384, 20908, 2738, 20322, 6024, 4847, 849, 7143, 4292, 11014, 8854, 10460, 2874, 1839, 2261, 6603, 7710, 19717, 6454, 6881, 9949, 10945, 3115, 2218, 17552]"
1428,"[9171, 1830, 16092, 2162, 10428, 774, 4737, 11285, 10149, 2391, 11405, 19264, 10321, 6944, 4547, 2420, 15526, 14614, 5546, 3572, 9642, 7910, 9164, 5587, 12383, 6870, 5096, 18402, 8667, 6777]"
1431,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1432,"[1433, 1384, 1434, 1563, 534, 1484, 1502, 967, 5095, 5853, 10639, 6042, 17877, 8549, 6251, 5864, 11575, 5320, 2462, 3534, 14111, 11480, 832, 12319, 12139, 10120, 8801, 6971, 17734, 3729]"
1433,"[1432, 1384, 1434, 1563, 534, 1484, 1502, 967, 5095, 5853, 10639, 6042, 17877, 6251, 8549, 2462, 11575, 5864, 3534, 5320, 14111, 12139, 12319, 10120, 11480, 832, 8801, 3729, 4632, 17734]"
1434,"[1433, 1432, 1384, 534, 1502, 1563, 1484, 5853, 6042, 10639, 5864, 1687, 5675, 2682, 11575, 6971, 6427, 3229, 7459, 11480, 14995, 6251, 5320, 15361, 14302, 8801, 5158, 17239, 19416, 12252]"
1436,"[9953, 19009, 10345, 18565, 13661, 10233, 15176, 14851, 12440, 16686, 6787, 20119, 16902, 14140, 17402, 9262, 18519, 5228, 18353, 19466, 5456, 19143, 3244, 19656, 6136, 7516, 15600, 19685, 19936, 5455]"
1437,"[7147, 5042, 5865, 5709, 5501, 5934, 5598, 7590, 6537, 7362, 12342, 2329, 14352, 14150, 2709, 3550, 13463, 5342, 4188, 10499, 20536, 6389, 5175, 10319, 9933, 17455, 7745, 7487, 6789, 7643]"
1440,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1441,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1443,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1445,"[1169, 576, 11930, 12344, 21026, 19849, 4947, 21460, 18863, 12633, 20697, 21821, 2590, 16504, 19647, 8226, 13590, 15841, 17247, 22013, 20137, 13415, 10135, 19365, 12958, 11961, 13953, 19213, 843, 9046]"
1448,"[20406, 928, 6409, 5812, 8441, 5811, 850, 5743, 8584, 7901, 5457, 1144, 1585, 11108, 7353, 8650, 9789, 641, 5396, 2705, 4629, 6942, 8420, 8309, 5366, 960, 7764, 2688, 2806, 830]"
1449,"[12268, 6222, 4408, 4519, 5332, 3781, 20760, 8657, 2256, 16240, 10181, 13628, 2579, 1599, 14451, 1670, 16192, 5383, 16236, 19822, 3728, 16380, 14516, 10735, 14761, 9240, 17744, 4961, 14959, 803]"
1451,"[913, 11129, 9991, 11618, 11452, 12441, 9893, 13984, 17118, 8974, 9116, 10311, 12103, 9644, 701, 5922, 3313, 10439, 4875, 10341, 8162, 8215, 10793, 10795, 5525, 9284, 20972, 6246, 9600, 16781]"
1453,"[2095, 5374, 1956, 10662, 5349, 1624, 8629, 2690, 1482, 10868, 10768, 1022, 1368, 1856, 7652, 763, 5355, 2479, 10643, 1008, 662, 1207, 21435, 1854, 1891, 8633, 2011, 5707, 1109, 7584]"
1454,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1457,"[4278, 20148, 8768, 18695, 11287, 3211, 18186, 11078, 18582, 10612, 15681, 1375, 12779, 7949, 20337, 4609, 20929, 20165, 15498, 11940, 11728, 10238, 7859, 5126, 591, 16482, 21379, 17985, 19820, 2009]"
1458,"[772, 1329, 3885, 1137, 4990, 6549, 912, 2752, 10318, 1319, 10190, 2218, 4641, 2223, 16237, 4964, 19401, 8571, 5213, 9716, 10140, 15733, 1197, 6454, 3320, 6690, 15624, 4071, 9051, 10945]"
1459,"[9832, 5480, 5646, 5437, 6122, 4579, 505, 4714, 2048, 938, 16676, 4017, 3108, 1795, 6899, 8205, 21136, 16901, 2277, 1198, 2466, 8641, 3548, 1973, 2173, 9774, 6107, 6910, 6839, 7875]"
1460,"[1945, 8463, 8521, 15350, 17140, 1370, 5985, 9754, 19242, 9708, 17744, 13361, 10957, 16986, 1620, 20863, 1463, 17358, 19095, 4584, 21204, 21181, 16662, 20051, 18805, 21285, 1640, 11939, 1000, 20484]"
1462,"[9033, 7446, 5905, 6162, 7414, 1787, 17886, 1395, 20719, 16152, 11850, 19830, 13201, 11884, 20427, 21360, 17868, 10486, 15084, 1890, 177, 975, 10724, 4592, 12880, 5300, 14717, 2923, 8050, 7563]"
1463,"[1620, 1370, 5985, 9754, 9708, 20863, 12627, 19380, 15232, 4528, 20362, 18536, 8593, 16965, 8956, 19405, 19910, 8494, 21811, 19780, 20484, 10477, 2661, 19206, 18900, 14735, 17140, 12567, 18981, 19032]"
1464,"[12299, 12302, 65, 11600, 8956, 16621, 4345, 7328, 20863, 88, 15552, 21580, 1912, 8580, 1323, 20519, 11939, 21285, 16379, 21181, 21333, 9197, 21516, 8767, 15747, 16965, 9697, 13042, 7285, 18397]"
1466,"[6562, 7041, 7284, 1167, 2962, 114, 5255, 7720, 9986, 1817, 7422, 1704, 1967, 631, 132, 894, 15590, 13852, 11502, 4788, 9374, 562, 761, 21549, 1134, 7292, 11513, 6433, 12705, 5593]"
1467,"[2188, 2189, 2212, 2090, 15404, 976, 1135, 8743, 12645, 7943, 11399, 8117, 12348, 8706, 13035, 8206, 8388, 11864, 5524, 13311, 4208, 11115, 7968, 12106, 8669, 1634, 7065, 83, 8227, 4908]"
1468,"[11620, 14473, 13135, 8898, 6914, 9256, 21613, 16982, 18024, 5716, 5738, 1713, 21291, 21911, 16656, 21583, 9975, 4372, 15865, 17691, 19430, 21205, 17420, 19953, 21365, 16340, 18184, 20305, 9457, 18333]"
1469,"[5545, 5699, 5124, 1409, 7472, 10581, 17503, 14573, 15113, 9874, 14840, 7749, 16642, 2924, 13329, 1724, 2030, 8872, 6335, 16577, 19422, 7451, 9628, 16552, 7688, 8689, 9429, 15406, 12328, 16422]"
1473,"[12612, 3467, 1707, 12337, 11532, 3978, 8781, 15915, 2745, 10141, 21437, 7286, 7056, 6372, 8502, 8222, 6623, 8166, 2911, 1823, 11375, 8295, 11666, 3132, 13310, 10010, 13879, 793, 7503, 8365]"
1474,"[2050, 1406, 121, 7743, 1778, 2102, 7576, 5600, 1808, 5412, 2691, 2803, 6918, 6260, 5694, 2148, 1499, 953, 5471, 5627, 11063, 1377, 7898, 1252, 6441, 4797, 1283, 5824, 8889, 7666]"
1475,"[17416, 20791, 19243, 1323, 5043, 16777, 18159, 1912, 10093, 21703, 5848, 6866, 21516, 16294, 2987, 14195, 16902, 18607, 18526, 15933, 14140, 699, 19556, 9230, 21535, 19194, 13042, 17358, 12790, 14101]"
1476,"[5147, 5183, 695, 916, 7850, 11026, 5434, 8688, 8457, 10166, 5187, 5703, 321, 9788, 854, 1496, 4778, 1504, 6020, 3160, 85, 942, 6075, 1273, 6383, 8252, 1259, 6399, 1073, 5209]"
1478,"[954, 21449, 12724, 11881, 20863, 14735, 561, 18755, 12862, 9697, 11600, 20051, 11004, 21122, 17880, 16965, 19819, 20099, 7285, 8956, 16621, 20029, 5941, 8494, 5529, 17075, 15371, 20130, 21811, 17857]"
1481,"[876, 1903, 13658, 4998, 3877, 8093, 15910, 6197, 12776, 3510, 2951, 10513, 9874, 10728, 14969, 13272, 1738, 139, 10525, 12328, 2846, 11966, 19289, 9827, 1724, 3629, 1410, 10397, 7451, 10285]"
1482,"[1624, 2690, 8629, 1956, 1368, 5349, 2095, 10662, 5374, 7652, 763, 5355, 1453, 1022, 662, 1891, 5707, 1109, 7069, 9631, 10768, 10868, 7584, 5345, 1856, 21435, 5756, 11792, 2479, 10643]"
1483,"[9767, 189, 17587, 17677, 15594, 17998, 18547, 17376, 18786, 727, 18001, 12291, 12537, 9608, 894, 860, 631, 761, 1704, 114, 12705, 9374, 11294, 1134, 11502, 19580, 18269, 19052, 1167, 6433]"
1484,"[967, 1563, 1384, 1433, 1432, 1434, 16144, 2097, 12387, 3267, 7168, 18241, 20687, 12158, 20325, 4920, 18464, 7034, 11136, 10177, 11074, 5095, 16428, 19127, 11153, 8631, 5902, 17734, 8575, 10972]"
1485,"[798, 4198, 13447, 9049, 3529, 11295, 11728, 1024, 4609, 591, 11735, 7859, 2008, 10609, 5533, 5728, 9114, 5126, 9792, 11216, 2009, 12912, 11039, 1844, 1676, 1051, 7273, 4080, 11940, 15110]"
1486,"[5823, 7834, 1378, 5824, 7719, 1283, 8889, 4797, 2146, 5750, 6441, 6264, 7898, 8486, 5357, 2043, 948, 2148, 762, 2803, 6425, 2657, 10638, 618, 7602, 1411, 11063, 2457, 7576, 953]"
1488,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1490,"[924, 1846, 2577, 3247, 2524, 7848, 3329, 1294, 8324, 3671, 8121, 10905, 16743, 9616, 7676, 16164, 9486, 3662, 10268, 2267, 16925, 2875, 4813, 628, 6980, 6050, 15259, 9477, 7158, 11139]"
1491,"[697, 848, 594, 1159, 19477, 11301, 893, 8945, 14660, 17340, 1649, 11559, 16560, 8968, 6215, 11754, 546, 11917, 5570, 10206, 6436, 625, 2454, 5409, 12565, 8460, 10506, 17267, 4138, 19069]"
1496,"[1504, 4778, 7850, 695, 916, 11026, 5147, 3160, 321, 5703, 8457, 1273, 5183, 6383, 85, 942, 5434, 1259, 2640, 1073, 7654, 8688, 5187, 10677, 5493, 10166, 1332, 854, 5181, 5645]"
1498,"[5733, 4576, 3483, 1763, 6522, 514, 1100, 1146, 1949, 4863, 6871, 5177, 9653, 8967, 11505, 3640, 19477, 6693, 14759, 9630, 2041, 11067, 18106, 2245, 11301, 1119, 10621, 10139, 9730, 11714]"
1499,"[5694, 5471, 6260, 5627, 5412, 1377, 2102, 2691, 7666, 1778, 7743, 1255, 10304, 9702, 121, 1406, 2050, 7417, 4616, 4777, 7192, 1194, 1474, 5600, 10949, 6985, 1935, 8682, 5776, 2894]"
1502,"[534, 1434, 1432, 1433, 1384, 1563, 2682, 1687, 7502, 5675, 5158, 1417, 5864, 4033, 697, 8985, 4175, 1818, 1101, 5787, 13480, 21282, 3145, 682, 4624, 17407, 893, 17512, 6427, 5853]"
1503,"[8839, 2051, 2032, 11423, 14918, 10874, 14881, 14904, 14734, 14433, 6438, 19580, 1134, 14461, 10886, 631, 860, 11294, 11879, 12505, 6562, 7284, 19023, 11258, 12537, 12412, 1704, 14763, 19407, 894]"
1504,"[4778, 1496, 6383, 7850, 3160, 321, 695, 916, 11026, 85, 1073, 1259, 8457, 7654, 10677, 5147, 2640, 1273, 5493, 1332, 5703, 5183, 5181, 5645, 942, 1115, 5434, 8688, 5187, 10166]"
1505,"[1957, 5620, 8478, 7609, 10682, 1866, 715, 5756, 8211, 8515, 5345, 2902, 9631, 7069, 1109, 853, 5707, 1891, 5799, 7584, 11792, 1168, 662, 2802, 8922, 8511, 663, 2679, 5355, 3152]"
1507,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1508,"[12712, 3689, 3775, 1359, 1783, 5530, 3329, 10852, 18416, 21713, 22093, 7222, 11970, 1371, 6250, 1294, 10712, 9776, 9161, 10257, 9751, 5708, 2931, 7050, 11483, 12288, 7032, 4185, 8372, 19140]"
1512,"[8454, 8214, 8186, 7755, 5698, 7752, 8627, 2647, 7555, 6428, 1246, 7331, 554, 10964, 6421, 1935, 10949, 6985, 2894, 6379, 5825, 1777, 2290, 7712, 8682, 1194, 5485, 651, 8475, 7192]"
1513,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1514,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1519,"[1277, 2841, 15902, 7193, 14681, 10096, 8269, 7429, 11250, 5101, 9659, 10791, 11148, 13212, 10503, 11156, 2417, 8149, 3776, 8425, 3243, 15801, 6034, 13383, 8239, 13565, 3730, 19271, 7987, 12319]"
1520,"[15394, 15460, 18030, 13115, 17620, 16613, 20181, 7604, 5276, 858, 3844, 18743, 19756, 1832, 1984, 14195, 18143, 7963, 5115, 3846, 19201, 21675, 9227, 17330, 21703, 7767, 7897, 19492, 14673, 19504]"
1521,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1524,"[13898, 13867, 16188, 21166, 16483, 11410, 3945, 16852, 7823, 15653, 4153, 11340, 3745, 3842, 3810, 3013, 11263, 19969, 11254, 3289, 4235, 2570, 2694, 19611, 4343, 3921, 6064, 10250, 15080, 11329]"
1525,"[11197, 17019, 7636, 14736, 3262, 8831, 6137, 11597, 2452, 7062, 18100, 16145, 18042, 4971, 4970, 4983, 7016, 11653, 18105, 7004, 16214, 1346, 1352, 1358, 13366, 13343, 6989, 5016, 4991, 13414]"
1526,"[21496, 1023, 1131, 20492, 2077, 9097, 11502, 19052, 19469, 761, 2981, 860, 1704, 15943, 894, 8510, 631, 10124, 13509, 13242, 15318, 12412, 114, 2460, 1235, 19580, 17672, 7072, 2912, 3678]"
1527,"[14371, 18118, 18666, 18002, 20779, 13600, 20362, 20832, 15232, 16757, 12627, 12567, 8163, 8493, 21343, 17857, 21047, 577, 12212, 21811, 14735, 16965, 20027, 19780, 699, 17384, 21359, 3728, 20271, 9551]"
1529,"[7529, 1260, 165, 17422, 8352, 16621, 65, 18397, 19524, 16520, 19017, 19685, 1622, 4967, 16545, 5145, 19858, 4362, 12372, 6046, 4590, 21780, 4657, 4345, 3008, 20051, 15371, 7328, 1464, 17075]"
1532,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1533,"[130, 4885, 1534, 2300, 2154, 605, 9776, 11876, 12548, 11483, 1043, 9161, 2931, 21180, 1992, 21925, 1371, 4873, 9751, 11866, 17931, 10257, 19161, 19036, 19140, 5344, 19134, 5958, 5708, 7222]"
1534,"[16665, 1988, 9714, 5436, 1971, 16921, 9559, 4886, 5134, 7662, 5958, 8257, 617, 16369, 7505, 2890, 7263, 4729, 10272, 1324, 1845, 2301, 1992, 5930, 16252, 16373, 11664, 7158, 5344, 4813]"
1535,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1536,"[4601, 6050, 11139, 3018, 4452, 628, 6266, 7735, 15259, 16164, 15317, 2605, 8324, 15649, 884, 13632, 16251, 14979, 15097, 15467, 4825, 6980, 4910, 16643, 14819, 15241, 2022, 8121, 2726, 6984]"
1537,"[972, 6451, 10863, 783, 10714, 3026, 14617, 4452, 2605, 6036, 6205, 10337, 9971, 369, 2376, 9990, 892, 5172, 15631, 13692, 12504, 19519, 13067, 16176, 5199, 14877, 5071, 15551, 12949, 9203]"
1540,"[2765, 3700, 4398, 6749, 909, 1748, 11679, 7717, 13592, 255, 5169, 108, 1916, 3713, 7728, 736, 11849, 12509, 2064, 12759, 12501, 2621, 878, 3678, 11932, 2250, 7677, 2883, 12643, 2027]"
1543,"[12424, 1868, 12430, 1875, 1880, 5987, 5983, 5978, 5974, 5965, 12446, 1906, 5953, 16730, 1865, 5932, 1925, 16719, 5912, 1934, 5910, 12486, 1939, 1942, 1948, 16693, 5885, 5883, 5882, 5869]"
1546,"[11199, 1577, 958, 2291, 17411, 3921, 2623, 5664, 7030, 3013, 2694, 4347, 4235, 11329, 3015, 11340, 11263, 7384, 11254, 3289, 3945, 3842, 10724, 2570, 3810, 12933, 3745, 19969, 14615, 7820]"
